,arch_lr,batch_size,competitor,conv_value,dataset,epochs,model,model_lr,nn,optimizer,seed,train_val_split,version,warmstart_epoch,res_train_1,res_train_5,res_val_1,res_arch_val_1,res_val_5,res_arch_val_5,comp_value,arch_path,time_avg,arch
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,drnas,0,0.67,v4,1,63.98701629638672,93.91606140136719,61.591435241699216,61.747685241699216,93.1249984741211,93.06713104248047,61.747685241699216,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_drnas/seed_0/train_val_split_0.67/version_v4/warmstart_epoch_1/arch.res,79.20054318904877,Pow2() Max0() Tanh() Add() Asinh() BetaMix()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,drnas,42,0.67,v3,0,63.39221115112305,93.45989379882812,61.60300903320312,61.649305725097655,92.91087799072265,93.02083435058594,61.649305725097655,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_drnas/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_0/arch.res,82.01858285903931,Pow2() Pow2() GELU(approximate='none') Add() Asinh() Add()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,drnas,42,0.67,v3,1,63.45863494873047,93.76056518554688,61.516204071044925,61.82870330810547,92.88773345947266,92.83564758300781,61.82870330810547,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_drnas/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_1/arch.res,82.35407986283302,GELU(approximate='none') Pow2() GELU(approximate='none') Add() Asinh() Add()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,drnas,42,0.67,v4,0,64.0547004699707,93.71200714111328,61.78240737915039,61.62037048339844,93.1134262084961,92.77777862548828,61.62037048339844,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_drnas/seed_42/train_val_split_0.67/version_v4/warmstart_epoch_0/arch.res,144.60187947154046,Pow2() Beta() Max0() Add() Asinh() Maximum()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,drnas,42,0.67,v4,1,63.834790802001955,93.81290435791016,61.62615737915039,61.69560165405274,92.96296081542968,92.99768371582032,61.69560165405274,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_drnas/seed_42/train_val_split_0.67/version_v4/warmstart_epoch_1/arch.res,79.47578373670578,Pow2() Pow2() Tanh() Add() Asinh() BetaMix()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,darts,0,0.67,v3,1,63.585697174072266,93.85944976806641,61.458333587646486,61.614583587646486,93.20023193359376,92.88773040771484,61.614583587646486,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_darts/seed_0/train_val_split_0.67/version_v3/warmstart_epoch_1/arch.res,73.86659986019134,Pow2() Sqrt() Pow2() Minimum() BetaAdd() Minimum()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,darts,0,0.67,v3,0,63.964874267578125,93.61161041259766,61.51041717529297,61.74189758300781,92.92245483398438,93.04398193359376,61.74189758300781,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_darts/seed_0/train_val_split_0.67/version_v3/warmstart_epoch_0/arch.res,72.80378976941108,Pow2() GELU(approximate='none') GELU(approximate='none') Add() Asinh() Add()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,darts,0,0.67,v4,0,64.1332015991211,93.79805603027344,61.510416412353514,61.54513778686523,93.12499694824218,92.82986145019531,61.54513778686523,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_darts/seed_0/train_val_split_0.67/version_v4/warmstart_epoch_0/arch.res,72.49880682826043,Pow2() Max0() Pow2() Add() Asinh() Minimum()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,darts,0,0.67,v4,1,61.948218536376956,93.52380065917968,60.185185241699216,60.06944351196289,92.62152709960938,92.67939910888671,60.06944351196289,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_darts/seed_0/train_val_split_0.67/version_v4/warmstart_epoch_1/arch.res,72.26463558673859,Max0() Max0() Pow2() Add() Asinh() Minimum()
0,0.025,128,relu,2,cifar10,200,wideresnet10x2,0.1,False,darts,42,0.67,v3,0,64.10426788330078,93.75377349853515,62.22222213745117,61.81712951660156,92.94560394287109,93.21759490966797,61.81712951660156,search_cifar10/arch_lr_0.025/batch_size_128/competitor_relu/conv_value_2/dataset_cifar10/epochs_200/model_wideresnet10x2/model_lr_0.1/nn_False/optimizer_darts/seed_42/train_val_split_0.67/version_v3/warmstart_epoch_0/arch.res,71.71552770018577,Pow2() Tanh() Pow2() Minimum() Max0() BetaMix()
